sid,participant_code,round_nb,role,dyad,manip,trial_payoff,responded,sent_amount,offer_response,rt,prolific_id,is_dom
ultimatum_game,t5t3o8ue,1,proposer,p1p2,1,0.0,1,0.0,0.0,17297.0,,1.0
ultimatum_game,t5t3o8ue,2,proposer,p1p3,0,7.0,1,3.0,1.0,13803.6,,0.0
ultimatum_game,t5t3o8ue,3,proposer,p1p4,1,10.0,1,0.0,1.0,1838.3,,1.0
ultimatum_game,t5t3o8ue,4,proposer,p1p5,0,10.0,1,0.0,1.0,9718.8,,0.0
ultimatum_game,t5t3o8ue,5,proposer,p1p6,1,9.0,1,1.0,1.0,5814.3,,1.0
ultimatum_game,t5t3o8ue,6,responder,p1p2,1,2.0,1,2.0,1.0,2217.6,,1.0
ultimatum_game,t5t3o8ue,7,responder,p1p3,1,7.0,1,7.0,1.0,1982.9,,1.0
ultimatum_game,t5t3o8ue,8,responder,p1p4,0,8.0,1,8.0,1.0,2887.6,,0.0
ultimatum_game,t5t3o8ue,9,responder,p1p5,0,0.0,1,8.0,0.0,9275.4,,0.0
ultimatum_game,t5t3o8ue,10,responder,p1p6,0,0.0,1,1.0,0.0,1801.9,,0.0
ultimatum_game,t5t3o8ue,11,proposer,p1p2,0,9.0,1,1.0,1.0,4437.3,,0.0
ultimatum_game,t5t3o8ue,12,proposer,p1p3,1,8.0,1,2.0,1.0,1763.1,,1.0
ultimatum_game,t5t3o8ue,13,proposer,p1p4,0,0.0,1,1.0,,3108.5,,0.0
ultimatum_game,t5t3o8ue,14,proposer,p1p5,1,0.0,0,,,26048.7,,1.0
ultimatum_game,t5t3o8ue,15,proposer,p1p6,0,0.0,1,2.0,0.0,5239.6,,0.0
ultimatum_game,t5t3o8ue,16,responder,p1p2,0,0.0,1,0.0,1.0,2310.3,,0.0
ultimatum_game,t5t3o8ue,17,responder,p1p3,0,0.0,0,,,,,0.0
ultimatum_game,t5t3o8ue,18,responder,p1p4,1,0.0,0,7.0,,1866.2,,1.0
ultimatum_game,t5t3o8ue,19,responder,p1p5,1,3.0,1,3.0,1.0,6162.4,,1.0
ultimatum_game,t5t3o8ue,20,responder,p1p6,1,0.0,1,1.0,0.0,2070.8,,1.0
ultimatum_game,4x87b817,1,responder,p1p2,0,0.0,1,0.0,0.0,4359.3,qsd,0.0
ultimatum_game,4x87b817,2,proposer,p2p5,1,6.0,1,4.0,1.0,2311.8,qsd,1.0
ultimatum_game,4x87b817,3,proposer,p2p6,1,0.0,1,0.0,0.0,3365.1,qsd,1.0
ultimatum_game,4x87b817,4,proposer,p2p4,0,0.0,0,,,25091.6,qsd,0.0
ultimatum_game,4x87b817,5,proposer,p2p3,1,0.0,1,1.0,,3753.8,qsd,1.0
ultimatum_game,4x87b817,6,proposer,p1p2,0,8.0,1,2.0,1.0,20417.5,qsd,0.0
ultimatum_game,4x87b817,7,responder,p2p5,1,5.0,1,5.0,1.0,1747.4,qsd,1.0
ultimatum_game,4x87b817,8,responder,p2p6,0,5.0,1,5.0,1.0,5417.4,qsd,0.0
ultimatum_game,4x87b817,9,responder,p2p4,1,6.0,1,6.0,1.0,2334.8,qsd,1.0
ultimatum_game,4x87b817,10,responder,p2p3,0,0.0,1,6.0,0.0,8330.9,qsd,0.0
ultimatum_game,4x87b817,11,responder,p1p2,1,1.0,1,1.0,1.0,1990.5,qsd,1.0
ultimatum_game,4x87b817,12,proposer,p2p5,0,8.0,1,2.0,1.0,1668.0,qsd,0.0
ultimatum_game,4x87b817,13,proposer,p2p6,0,0.0,1,0.0,0.0,2728.1,qsd,0.0
ultimatum_game,4x87b817,14,proposer,p2p4,1,9.0,1,1.0,1.0,3489.9,qsd,1.0
ultimatum_game,4x87b817,15,proposer,p2p3,0,0.0,1,2.0,0.0,5874.4,qsd,0.0
ultimatum_game,4x87b817,16,proposer,p1p2,1,10.0,1,0.0,1.0,24833.1,qsd,1.0
ultimatum_game,4x87b817,17,responder,p2p5,0,0.0,0,,,,qsd,0.0
ultimatum_game,4x87b817,18,responder,p2p6,1,0.0,1,0.0,1.0,2553.4,qsd,1.0
ultimatum_game,4x87b817,19,responder,p2p4,0,2.0,1,2.0,1.0,8819.0,qsd,0.0
ultimatum_game,4x87b817,20,responder,p2p3,1,0.0,1,6.0,0.0,6931.6,qsd,1.0
ultimatum_game,k9wrgagn,1,proposer,p3p4,0,0.0,0,,,25164.4,1313,0.0
ultimatum_game,k9wrgagn,2,responder,p1p3,1,3.0,1,3.0,1.0,10280.0,1313,1.0
ultimatum_game,k9wrgagn,3,proposer,p3p5,1,5.0,1,5.0,1.0,1747.8,1313,1.0
ultimatum_game,k9wrgagn,4,proposer,p3p6,0,0.0,1,7.0,0.0,7909.0,1313,0.0
ultimatum_game,k9wrgagn,5,responder,p2p3,0,0.0,0,1.0,,21108.6,1313,0.0
ultimatum_game,k9wrgagn,6,responder,p3p4,1,3.0,1,3.0,1.0,1778.9,1313,1.0
ultimatum_game,k9wrgagn,7,proposer,p1p3,0,3.0,1,7.0,1.0,2003.8,1313,0.0
ultimatum_game,k9wrgagn,8,responder,p3p5,1,8.0,1,8.0,1.0,2474.3,1313,1.0
ultimatum_game,k9wrgagn,9,responder,p3p6,0,1.0,1,1.0,1.0,1597.7,1313,0.0
ultimatum_game,k9wrgagn,10,proposer,p2p3,1,0.0,1,6.0,0.0,2764.6,1313,1.0
ultimatum_game,k9wrgagn,11,proposer,p3p4,1,3.0,1,7.0,1.0,12207.3,1313,1.0
ultimatum_game,k9wrgagn,12,responder,p1p3,0,2.0,1,2.0,1.0,4369.8,1313,0.0
ultimatum_game,k9wrgagn,13,proposer,p3p5,0,0.0,1,10.0,1.0,2425.0,1313,0.0
ultimatum_game,k9wrgagn,14,proposer,p3p6,1,0.0,1,3.0,,2482.7,1313,1.0
ultimatum_game,k9wrgagn,15,responder,p2p3,1,0.0,1,2.0,0.0,11023.6,1313,1.0
ultimatum_game,k9wrgagn,16,responder,p3p4,0,6.0,1,6.0,1.0,7904.3,1313,0.0
ultimatum_game,k9wrgagn,17,proposer,p1p3,1,0.0,0,,,25099.8,1313,1.0
ultimatum_game,k9wrgagn,18,responder,p3p5,0,3.0,1,3.0,1.0,14759.6,1313,0.0
ultimatum_game,k9wrgagn,19,responder,p3p6,1,1.0,1,1.0,1.0,8595.0,1313,1.0
ultimatum_game,k9wrgagn,20,proposer,p2p3,0,0.0,1,6.0,0.0,19569.9,1313,0.0
ultimatum_game,oqoh3kjf,1,responder,p3p4,1,0.0,0,,,,1313,1.0
ultimatum_game,oqoh3kjf,2,proposer,p4p6,0,4.0,1,6.0,1.0,7260.2,1313,0.0
ultimatum_game,oqoh3kjf,3,responder,p1p4,0,0.0,1,0.0,1.0,3081.8,1313,0.0
ultimatum_game,oqoh3kjf,4,responder,p2p4,1,0.0,0,,,,1313,1.0
ultimatum_game,oqoh3kjf,5,proposer,p4p5,1,0.0,0,,,25122.3,1313,1.0
ultimatum_game,oqoh3kjf,6,proposer,p3p4,0,7.0,1,3.0,1.0,5019.7,1313,0.0
ultimatum_game,oqoh3kjf,7,responder,p4p6,1,2.0,1,2.0,1.0,7878.7,1313,1.0
ultimatum_game,oqoh3kjf,8,proposer,p1p4,1,2.0,1,8.0,1.0,3147.9,1313,1.0
ultimatum_game,oqoh3kjf,9,proposer,p2p4,0,4.0,1,6.0,1.0,2307.1,1313,0.0
ultimatum_game,oqoh3kjf,10,responder,p4p5,0,8.0,1,8.0,1.0,5040.3,1313,0.0
ultimatum_game,oqoh3kjf,11,responder,p3p4,0,7.0,1,7.0,1.0,1416.4,1313,0.0
ultimatum_game,oqoh3kjf,12,proposer,p4p6,0,3.0,1,7.0,1.0,2385.7,1313,0.0
ultimatum_game,oqoh3kjf,13,responder,p1p4,1,0.0,0,1.0,,14735.5,1313,1.0
ultimatum_game,oqoh3kjf,14,responder,p2p4,0,1.0,1,1.0,1.0,11987.2,1313,0.0
ultimatum_game,oqoh3kjf,15,proposer,p4p5,1,0.0,1,5.0,0.0,16456.7,1313,1.0
ultimatum_game,oqoh3kjf,16,proposer,p3p4,1,4.0,1,6.0,1.0,18797.9,1313,1.0
ultimatum_game,oqoh3kjf,17,responder,p4p6,1,1.0,1,1.0,1.0,13917.9,1313,1.0
ultimatum_game,oqoh3kjf,18,proposer,p1p4,0,0.0,1,7.0,,2129.4,1313,0.0
ultimatum_game,oqoh3kjf,19,proposer,p2p4,1,8.0,1,2.0,1.0,4496.1,1313,1.0
ultimatum_game,oqoh3kjf,20,responder,p4p5,0,2.0,1,2.0,1.0,1869.7,1313,0.0
ultimatum_game,nmsub2v0,1,proposer,p5p6,1,3.0,1,7.0,1.0,3656.4,1313,1.0
ultimatum_game,nmsub2v0,2,responder,p2p5,0,4.0,1,4.0,1.0,3158.9,1313,0.0
ultimatum_game,nmsub2v0,3,responder,p3p5,0,5.0,1,5.0,1.0,5647.7,1313,0.0
ultimatum_game,nmsub2v0,4,responder,p1p5,1,0.0,1,0.0,1.0,2541.6,1313,1.0
ultimatum_game,nmsub2v0,5,responder,p4p5,0,0.0,0,,,,1313,0.0
ultimatum_game,nmsub2v0,6,responder,p5p6,0,1.0,1,1.0,1.0,5662.8,1313,0.0
ultimatum_game,nmsub2v0,7,proposer,p2p5,0,5.0,1,5.0,1.0,6940.3,1313,0.0
ultimatum_game,nmsub2v0,8,proposer,p3p5,0,2.0,1,8.0,1.0,4346.2,1313,0.0
ultimatum_game,nmsub2v0,9,proposer,p1p5,1,0.0,1,8.0,0.0,4637.3,1313,1.0
ultimatum_game,nmsub2v0,10,proposer,p4p5,1,2.0,1,8.0,1.0,6922.1,1313,1.0
ultimatum_game,nmsub2v0,11,proposer,p5p6,0,0.0,1,5.0,0.0,2054.2,1313,0.0
ultimatum_game,nmsub2v0,12,responder,p2p5,1,2.0,1,2.0,1.0,2808.5,1313,1.0
ultimatum_game,nmsub2v0,13,responder,p3p5,1,10.0,1,10.0,1.0,2122.3,1313,1.0
ultimatum_game,nmsub2v0,14,responder,p1p5,0,0.0,0,,,,1313,0.0
ultimatum_game,nmsub2v0,15,responder,p4p5,0,0.0,1,5.0,0.0,4728.4,1313,0.0
ultimatum_game,nmsub2v0,16,responder,p5p6,1,1.0,1,1.0,1.0,7168.9,1313,1.0
ultimatum_game,nmsub2v0,17,proposer,p2p5,1,0.0,0,,,25113.6,1313,1.0
ultimatum_game,nmsub2v0,18,proposer,p3p5,1,7.0,1,3.0,1.0,6122.7,1313,1.0
ultimatum_game,nmsub2v0,19,proposer,p1p5,0,7.0,1,3.0,1.0,17956.3,1313,0.0
ultimatum_game,nmsub2v0,20,proposer,p4p5,1,8.0,1,2.0,1.0,14764.0,1313,1.0
ultimatum_game,av11o5qz,1,responder,p5p6,0,7.0,1,7.0,1.0,11832.2,,0.0
ultimatum_game,av11o5qz,2,responder,p4p6,1,6.0,1,6.0,1.0,6690.5,,1.0
ultimatum_game,av11o5qz,3,responder,p2p6,0,0.0,1,0.0,0.0,3019.2,,0.0
ultimatum_game,av11o5qz,4,responder,p3p6,1,0.0,1,7.0,0.0,4940.9,,1.0
ultimatum_game,av11o5qz,5,responder,p1p6,0,1.0,1,1.0,1.0,1825.1,,0.0
ultimatum_game,av11o5qz,6,proposer,p5p6,1,9.0,1,1.0,1.0,22615.8,,1.0
ultimatum_game,av11o5qz,7,proposer,p4p6,0,8.0,1,2.0,1.0,4040.5,,0.0
ultimatum_game,av11o5qz,8,proposer,p2p6,1,5.0,1,5.0,1.0,1885.4,,1.0
ultimatum_game,av11o5qz,9,proposer,p3p6,1,9.0,1,1.0,1.0,1860.7,,1.0
ultimatum_game,av11o5qz,10,proposer,p1p6,1,0.0,1,1.0,0.0,3174.2,,1.0
ultimatum_game,av11o5qz,11,responder,p5p6,1,0.0,1,5.0,0.0,8805.2,,1.0
ultimatum_game,av11o5qz,12,responder,p4p6,1,7.0,1,7.0,1.0,4772.6,,1.0
ultimatum_game,av11o5qz,13,responder,p2p6,1,0.0,1,0.0,0.0,3032.2,,1.0
ultimatum_game,av11o5qz,14,responder,p3p6,0,0.0,0,3.0,,15285.3,,0.0
ultimatum_game,av11o5qz,15,responder,p1p6,1,0.0,1,2.0,0.0,2329.0,,1.0
ultimatum_game,av11o5qz,16,proposer,p5p6,0,9.0,1,1.0,1.0,19359.9,,0.0
ultimatum_game,av11o5qz,17,proposer,p4p6,0,9.0,1,1.0,1.0,2639.7,,0.0
ultimatum_game,av11o5qz,18,proposer,p2p6,0,10.0,1,0.0,1.0,2018.0,,0.0
ultimatum_game,av11o5qz,19,proposer,p3p6,0,9.0,1,1.0,1.0,1582.8,,0.0
ultimatum_game,av11o5qz,20,proposer,p1p6,0,0.0,1,1.0,0.0,2459.9,,0.0
